20.26,16.67,-8.42
25.12,15.43,6.25
15.78,12.56,23.22
7.78,3.35,30.01
4.81,3.93,22.78
6.17,5.58,11.43
8.55,0.81,3.50
13.01,-4.61,-1.07
14.25,-2.76,0.22
9.06,-1.20,1.71
1.75,1.43,3.36
-3.89,-1.47,3.89
-5.88,0.50,1.28
-9.94,3.80,-1.86
-17.93,6.86,-0.28
-26.89,4.62,3.62
-21.85,8.10,0.82
-6.97,13.47,-6.93
5.75,7.17,-12.48
16.40,2.96,-12.21
25.19,10.03,-0.82
19.58,2.23,19.77
10.21,-2.41,32.03
6.18,4.55,25.76
7.29,14.16,8.06
3.96,15.29,-7.78
-8.03,14.65,-12.90
-22.51,16.40,-5.33
-33.46,9.32,3.64
-30.07,1.73,4.84
-9.91,9.90,-2.97
10.71,14.95,-9.37
25.40,14.19,-3.97
22.15,11.07,17.04
11.33,10.35,32.71
2.18,0.34,35.23
4.35,13.45,19.06
8.38,15.31,1.51
6.60,13.21,-12.16
-5.56,14.43,-14.77
-19.59,19.39,-6.04
-29.90,16.13,5.10
-29.78,10.01,10.17
-13.75,11.18,3.35
5.61,11.74,-6.15
22.06,17.11,-6.54
25.87,13.29,5.76
17.35,11.02,23.92
6.55,2.57,36.22
2.00,4.10,31.90
5.15,14.68,13.42
6.75,13.45,-3.08
1.90,11.25,-14.11
-9.98,8.02,-15.54
-20.50,9.32,-8.86
-26.24,6.11,-2.04
-22.46,3.22,1.47
-9.48,4.25,-0.34
4.35,4.22,-3.59
17.40,3.52,-3.17
24.02,3.88,4.23
19.72,3.25,19.14
12.03,-1.30,29.73
7.44,0.96,26.96
6.68,9.62,11.77
6.46,11.05,-3.03
0.88,8.54,-12.56
-9.43,11.91,-13.41
-19.81,14.14,-7.30
-26.53,9.72,0.11
-23.66,9.96,4.00
-11.62,9.86,0.54
3.37,4.29,-6.25
20.50,9.78,-7.05
27.03,8.41,5.17
18.75,4.91,23.72
7.58,1.49,34.34
2.44,4.56,29.81
4.78,10.66,13.05
7.47,15.67,-4.02
1.07,16.34,-15.35
-13.46,14.04,-14.00
-24.15,16.31,-4.80
-29.01,10.55,3.13
-21.76,5.72,4.82
-4.59,8.03,-0.20
11.50,6.73,-3.71
23.42,2.15,-2.20
23.62,-0.53,8.71
16.67,-1.66,20.63
8.02,-4.04,25.06
3.87,0.07,16.93
2.69,2.71,4.79
1.79,0.61,-4.98
-2.22,0.23,-10.06
-8.99,0.34,-9.79
-15.09,-1.45,-7.32
-18.80,1.25,-3.21
-20.22,2.74,0.48
-15.53,2.96,1.36
-4.80,1.80,-2.92
8.23,2.90,-5.73
18.61,2.11,-3.73
18.16,3.62,8.45
11.92,4.37,21.29
6.82,1.11,27.67
6.72,9.13,25.76
6.00,2.43,17.41
5.57,2.01,5.17
4.28,5.34,-4.19
2.46,-0.29,-9.68
-1.60,-4.71,-11.99
-8.67,-5.46,-11.09
-12.61,-1.36,-7.74
-16.76,3.83,0.34
-12.74,-7.59,17.66
-2.93,-7.31,3.79
0.00,-6.90,1.21
2.55,-6.09,0.46
3.45,-5.27,3.69
3.05,-5.24,8.49
2.55,-5.21,11.89
1.54,-5.47,12.94
0.60,-5.67,11.31
-0.44,-5.55,8.04
-2.53,-8.59,5.08
-0.52,-9.09,4.26
-4.63,-8.66,6.27
-1.82,-4.79,6.27
-3.30,-12.40,6.51
-1.56,-7.47,4.36
-1.53,-6.36,2.54
-1.84,-4.62,3.85
-1.26,-5.39,5.00
1.17,-2.61,5.76
2.77,-2.01,6.04
2.73,-2.64,8.89
2.13,-4.45,12.26
4.03,2.71,14.01
4.48,2.88,14.91
4.53,6.18,15.71
4.52,3.45,16.92
4.32,-0.13,15.62
6.20,4.43,13.05
5.89,2.78,7.15
6.37,5.26,-1.14
2.50,7.10,-7.06
-4.31,20.40,-6.69
-15.65,26.65,-0.91
-27.53,15.76,6.49
-29.67,15.66,9.94
-19.75,17.21,6.29
-4.48,14.03,-2.86
9.31,8.88,-14.42
21.58,1.52,-18.76
28.61,-5.42,-9.11
20.41,-5.46,6.33
8.38,7.64,10.14
-1.88,22.99,5.12
-15.00,30.64,3.97
-28.94,23.60,7.49
-32.80,19.15,7.83
-21.59,22.50,1.67
-3.66,20.04,-6.11
14.61,17.67,-11.67
26.68,8.53,-6.52
21.37,1.42,10.59
14.05,-5.67,22.17
7.18,-9.58,25.20
4.79,3.58,13.92
2.03,13.88,0.07
-7.87,22.25,-5.33
-21.77,25.35,3.01
-36.31,7.65,8.97
-28.13,8.77,1.62
-9.29,12.90,-8.91
5.83,4.51,-14.78
19.01,1.17,-12.80
24.85,-4.05,1.14
16.74,-8.67,14.68
7.96,4.91,14.37
1.84,23.14,5.28
-9.01,27.82,-0.39
-21.18,24.63,0.51
-28.51,17.25,1.37
-26.66,19.47,2.50
-15.93,25.16,4.54
-5.95,15.57,4.41
6.21,11.21,-0.79
17.64,8.97,-7.50
25.04,-1.92,-10.95
26.77,-5.49,-6.06
24.27,-7.13,3.64
18.59,-7.21,9.76
11.07,8.71,5.69
2.71,23.75,-0.40
-13.14,29.78,0.31
-29.70,23.97,8.48
-34.52,19.50,12.13
-20.69,29.70,9.97
-4.67,27.07,3.94
10.50,18.84,-6.04
25.12,17.91,-12.58
30.71,7.36,-6.59
26.30,6.31,10.31
17.34,-3.69,22.55
10.71,-3.07,23.05
9.52,11.93,12.12
7.59,19.85,-0.99
-2.56,27.79,-6.37
-16.63,37.60,1.59
-30.57,28.49,13.45
-33.71,18.84,17.39
-16.13,23.09,8.63
3.36,31.44,-4.08
16.35,21.75,-11.96
27.90,11.61,-10.59
28.33,9.00,7.44
19.53,-0.96,25.11
10.90,-1.99,30.62
8.47,9.76,20.58
8.93,18.44,4.70
5.35,27.30,-7.18
-7.10,35.15,-6.86
-21.57,40.66,7.04
-34.92,21.55,18.29
-26.42,21.57,17.77
-6.00,29.88,5.87
8.60,27.09,-5.65
21.22,18.36,-12.67
32.13,10.07,-8.48
30.51,4.07,11.91
20.06,-0.72,29.58
10.85,4.84,28.46
8.09,20.71,11.80
4.93,27.21,-2.73
-6.35,35.34,-6.80
-21.18,31.05,3.95
-31.89,20.55,13.46
-26.71,24.06,15.10
-12.51,23.03,8.64
1.75,21.74,-0.57
12.26,14.93,-7.45
21.74,10.52,-9.40
25.24,6.11,-0.26
22.27,3.29,15.33
15.74,-1.00,28.72
9.53,2.16,30.32
8.85,10.05,17.84
9.73,18.61,1.05
3.38,27.93,-7.21
-10.55,33.60,-2.05
-25.35,27.23,10.59
-31.80,19.29,17.83
-22.86,16.89,13.99
-6.14,26.35,3.60
4.28,21.84,-4.83
12.20,9.99,-10.50
21.12,6.14,-10.79
25.40,8.33,0.23
22.60,6.78,16.85
15.48,-0.06,30.24
9.79,4.52,29.76
10.73,16.82,13.59
8.93,24.12,-1.88
