0.71,0.46,9.34
0.70,0.44,9.26
0.61,0.30,9.43
0.65,0.39,9.42
0.61,0.41,9.50
0.63,0.38,9.33
0.66,0.41,9.20
0.62,0.48,9.37
0.63,0.41,9.41
0.59,0.33,9.39
0.71,0.40,9.24
0.68,0.39,9.24
0.58,0.35,9.32
0.60,0.46,9.53
0.62,0.47,9.39
0.71,0.29,9.18
0.58,0.31,9.23
0.66,0.33,9.29
0.61,0.35,9.45
0.62,0.46,9.48
0.62,0.37,9.30
0.70,0.33,9.20
0.56,0.34,9.47
0.64,0.47,9.39
0.65,0.43,9.38
0.70,0.47,9.35
0.68,0.31,9.39
0.69,0.36,9.31
0.70,0.35,9.35
0.62,0.36,9.42
0.62,0.49,9.49
0.70,0.48,9.29
0.62,0.39,9.27
0.62,0.34,9.45
0.66,0.39,9.37
0.68,0.43,9.31
0.63,0.35,9.23
0.60,0.35,9.27
0.62,0.40,9.52
0.66,0.48,9.37
0.60,0.40,9.13
0.68,0.35,9.27
0.62,0.34,9.59
0.65,0.37,9.29
0.65,0.44,9.30
0.62,0.36,9.33
0.64,0.33,9.38
0.71,0.37,9.34
0.63,0.34,9.32
0.63,0.44,9.31
0.59,0.38,9.33
0.66,0.42,9.33
0.69,0.37,9.24
0.63,0.41,9.40
0.60,0.41,9.48
0.67,0.37,9.33
0.65,0.37,9.35
0.62,0.33,9.29
0.57,0.31,9.43
0.64,0.42,9.42
0.70,0.45,9.25
0.65,0.46,9.30
0.70,0.33,9.33
0.69,0.44,9.40
0.59,0.39,9.28
0.70,0.42,9.29
0.60,0.18,9.33
0.70,0.36,9.41
0.66,0.38,9.40
0.66,0.38,9.37
0.62,0.37,9.37
0.60,0.34,9.43
0.62,0.30,9.36
0.68,0.33,9.28
0.65,0.31,9.35
0.68,0.46,9.30
0.64,0.30,9.43
0.62,0.28,9.43
0.62,0.39,9.33
0.67,0.45,9.23
0.63,0.33,9.28
0.63,0.31,9.39
0.60,0.30,9.36
0.69,0.34,9.40
0.57,0.46,9.25
0.58,0.36,9.41
0.61,0.38,9.40
0.68,0.32,9.25
0.57,0.38,9.29
0.59,0.19,9.27
0.72,0.35,9.35
0.63,0.36,9.32
0.66,0.40,9.45
0.61,0.42,9.37
0.69,0.29,9.27
0.60,0.33,9.33
0.66,0.33,9.37
0.64,0.40,9.36
0.65,0.50,9.24
0.65,0.31,9.39
0.61,0.38,9.26
0.64,0.32,9.26
0.57,0.35,9.32
0.61,0.40,9.47
0.62,0.39,9.34
0.60,0.33,9.35
0.61,0.27,9.16
0.73,0.34,9.43
0.67,0.40,9.33
0.71,0.23,9.44
0.69,0.24,9.31
0.66,0.28,9.21
0.71,0.40,9.16
0.61,0.49,9.47
0.72,0.47,9.40
0.73,0.30,9.43
0.71,0.24,9.40
0.74,0.30,9.37
0.76,0.44,9.37
0.67,0.40,9.36
0.69,0.34,9.36
0.66,0.25,9.26
0.70,0.44,9.34
0.70,0.48,9.34
0.67,0.39,9.33
0.72,0.34,9.34
0.73,0.36,9.47
0.70,0.39,9.31
0.64,0.30,9.43
0.65,0.33,9.32
0.73,0.42,9.29
0.73,0.42,9.38
0.57,0.36,9.32
0.73,0.42,9.33
0.73,0.32,9.34
0.70,0.33,9.28
0.68,0.39,9.40
0.65,0.49,9.39
0.68,0.38,9.31
0.72,0.38,9.28
0.65,0.34,9.41
0.68,0.34,9.42
0.62,0.38,9.49
0.63,0.31,9.18
0.70,0.29,9.14
0.68,0.36,9.44
0.61,0.39,9.45
0.65,0.39,9.44
0.65,0.39,9.22
0.74,0.41,9.35
0.73,0.35,9.29
0.63,0.32,9.31
0.67,0.26,9.43
0.67,0.42,9.35
0.66,0.49,9.35
0.67,0.39,9.28
0.70,0.33,9.28
0.59,0.31,9.39
0.69,0.47,9.55
0.68,0.41,9.37
0.75,0.34,9.26
0.68,0.33,9.10
0.71,0.35,9.47
0.63,0.38,9.46
0.65,0.35,9.32
0.71,0.41,9.27
0.67,0.39,9.28
0.66,0.32,9.50
0.62,0.37,9.42
